"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8014380000","13726400000","16242230000","27491840000","43046360000","54813490000","73204280000","70629600000","35532800000","","49370680000","84188410000","111973800000","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2039730000","3756230000","17669640000","17297270000","4785130000","5433970000","4242610000","4318000000","6788170000","5531890000","4606740000","","","","","2683690000","",
"Angola","AGO","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1585736810000","","","","","379205990000","598463770000","","807147637737.544","571497110000","394787195574.226","305898911004.862","298347560434.257","286126400000","582489390000","",
"United Arab Emirates","ARE","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20187670000","47604080000","71135377000","65802580000","27717670000","15004370000","17951830000","","144064467737.544","57598340000","49467630000","44169460000","25429860000","29251300000","37509250000","",
"Argentina","ARG","Stocks traded, total value (current US$)","CM.MKT.TRAD.CD","","","","","","","","","","","","","","","","450000000","806000000","239000000","352000000","1471500000","1115000000","184050000","242900000","175700000","253300000","474410000","239220000","143980000","4272730000","396070000","800770000","4548690000","15738610000","49764530000","112828000000","31903600000","31303500000","38206640000","26064460000","11862190000","9145630000","6662000000","1168610000","2929510000","4551450000","5257770000","3387990000","4845000000","3337600000","1510580000","2544790000","2454310000","1462140000","2237310000","3522520000","2699820000","4360745593.33447","6592777693.4465","4571173455.16617","2983330000","2183040000","",
